region,year,value
Australia,2017,480.0
Australia,2018,731.0
Australia,2019,1700.0
Australia,2020,2300.0
Australia,2021,2320.0
Australia,2022,2570.0
Australia,2023,2760.0
Austria,2011,0.2000000029802322
Austria,2012,0.2000000029802322
Austria,2013,0.2000000029802322
Austria,2014,0.2000000029802322
Austria,2015,0.2000000029802322
Austria,2016,0.2000000029802322
Austria,2017,0.2000000029802322
Austria,2018,0.2000000029802322
Austria,2019,0.2000000029802322
Austria,2020,0.2000000029802322
Austria,2021,10500.0
Austria,2022,15600.0
Austria,2023,17500.0
Belgium,2013,377.0
Belgium,2014,615.0
Belgium,2015,1377.0
Belgium,2016,1610.0
Belgium,2017,1720.0
Belgium,2018,2940.0
Belgium,2019,6460.0
Belgium,2020,8480.0
Belgium,2021,12790.0
Belgium,2022,24100.0
Belgium,2023,44000.0
Brazil,2018,30.90000009536743
Brazil,2019,224.90000009536743
Brazil,2020,404.90000009536743
Brazil,2021,804.9000000953674
Brazil,2022,3004.9000000953674
Brazil,2023,3804.9000000953674
Canada,2012,722.0
Canada,2013,1207.0
Canada,2014,2355.0
Canada,2015,3463.0
Canada,2016,4040.0
Canada,2017,5870.0
Canada,2018,7940.0
Canada,2019,8980.0
Canada,2020,13300.0
Canada,2021,15100.0
Canada,2022,20900.0
Canada,2023,26800.0
Chile,2011,2.0
Chile,2012,10.0
Chile,2013,13.0
Chile,2014,18.0
Chile,2015,27.0
Chile,2016,27.0
Chile,2017,41.0
Chile,2018,69.0
Chile,2019,172.0
Chile,2020,339.0
Chile,2021,480.0
Chile,2022,660.0
Chile,2023,1070.0
China,2014,30000.0
China,2015,59000.0
China,2016,141000.0
China,2017,213000.0
China,2018,270000.0
China,2019,510000.0
China,2020,810000.0
China,2021,1150000.0
China,2022,1760000.0
China,2023,2700000.0
Denmark,2012,903.0
Denmark,2013,1046.0
Denmark,2014,1720.0
Denmark,2015,2370.0
Denmark,2016,4510.0
Denmark,2017,4570.0
Denmark,2018,4690.0
Denmark,2019,4950.0
Denmark,2020,5960.0
Denmark,2021,7240.0
Denmark,2022,9500.0
Denmark,2023,17000.0
EU27,2010,7300.0
EU27,2011,1506.0999999046326
EU27,2012,8959.0
EU27,2013,15400.0
EU27,2014,23690.0
EU27,2015,44100.0
EU27,2016,75100.0
EU27,2017,86600.0
EU27,2018,106600.0
EU27,2019,152000.0
EU27,2020,199000.0
EU27,2021,289000.0
EU27,2022,429000.0
EU27,2023,592000.0
Europe,2010,3200.0
Europe,2011,6124.0
Europe,2012,16160.0
Europe,2013,25780.0
Europe,2014,38400.0
Europe,2015,62800.0
Europe,2016,99700.0
Europe,2017,119300.0
Europe,2018,143000.0
Europe,2019,190000.0
Europe,2020,250000.0
Europe,2021,353000.0
Europe,2022,508000.0
Europe,2023,700000.0
Finland,2013,267.0
Finland,2014,386.0
Finland,2015,840.0
Finland,2016,850.0
Finland,2017,850.0
Finland,2018,930.0
Finland,2019,2140.0
Finland,2020,4310.0
Finland,2021,6570.0
Finland,2022,9000.0
Finland,2023,12100.0
France,2012,809.0
France,2013,1800.0
France,2014,1810.0
France,2015,10480.0
France,2016,20000.0
France,2017,21000.0
France,2018,24700.0
France,2019,30000.0
France,2020,34300.0
France,2021,54500.0
France,2022,83700.0
France,2023,118000.0
Germany,2012,1518.0
Germany,2013,2447.0
Germany,2014,2720.0
Germany,2015,5070.0
Germany,2016,6430.0
Germany,2017,10800.0
Germany,2018,19500.0
Germany,2019,29900.0
Germany,2020,43200.0
Germany,2021,59300.0
Germany,2022,86000.0
Germany,2023,108000.0
Greece,2013,10.0
Greece,2014,16.0
Greece,2015,16.0
Greece,2016,17.0
Greece,2017,24.0
Greece,2018,41.0
Greece,2019,73.0
Greece,2020,234.0
Greece,2021,1300.0
Greece,2022,2990.0
Greece,2023,5130.0
Iceland,2014,6.0
Iceland,2015,22.0
Iceland,2016,51.0
Iceland,2017,68.0
Iceland,2018,95.0
Iceland,2019,260.0
Iceland,2020,480.0
Iceland,2021,680.0
Iceland,2022,1030.0
Iceland,2023,1560.0
India,2016,25.0
India,2017,245.0
India,2018,355.0
India,2019,355.0
India,2020,355.0
India,2021,942.0
India,2022,10900.0
India,2023,10900.0
Indonesia,2020,101.0
Indonesia,2021,184.0
Indonesia,2022,710.0
Indonesia,2023,710.0
Israel,2015,0.2000000029802322
Israel,2016,0.2000000029802322
Israel,2017,0.2000000029802322
Israel,2018,0.2000000029802322
Israel,2019,0.2000000029802322
Israel,2020,0.1000000014901161
Israel,2021,0.1000000014901161
Israel,2022,2770.0
Israel,2023,4910.0
Italy,2012,1401.0
Italy,2013,1406.0
Italy,2014,1410.0
Italy,2015,1770.0
Italy,2016,2470.0
Italy,2017,2790.0
Italy,2018,3470.0
Italy,2019,9160.0
Italy,2020,13200.0
Italy,2021,22200.0
Italy,2022,37500.0
Italy,2023,48100.0
Japan,2010,310.0
Japan,2011,800.0
Japan,2012,1400.0
Japan,2013,1800.0
Japan,2014,11500.0
Japan,2015,22000.0
Japan,2016,24100.0
Japan,2017,29300.0
Japan,2018,29700.0
Japan,2019,30900.0
Japan,2020,29900.0
Japan,2021,29000.0
Japan,2022,29400.0
Japan,2023,31600.0
Korea,2016,2020.0
Korea,2017,13300.0
Korea,2018,27200.0
Korea,2019,44400.0
Korea,2020,46800.0
Korea,2021,107000.0
Korea,2022,201000.0
Korea,2023,201000.0
Mexico,2015,83.0
Mexico,2016,246.0
Mexico,2017,750.0
Mexico,2018,1176.0
Mexico,2019,1176.0
Mexico,2020,1176.0
Mexico,2021,1176.0
Mexico,2022,2076.0
Mexico,2023,2076.0
Netherlands,2010,400.0
Netherlands,2011,400.0
Netherlands,2012,2821.0
Netherlands,2013,5821.0
Netherlands,2014,12120.0
Netherlands,2015,18220.0
Netherlands,2016,32400.0
Netherlands,2017,33410.0
Netherlands,2018,36820.0
