region,year,powertrain,sales_shares,sales_volumes
Australia,2011,EV,0.0065000001341104,49.0
Australia,2012,EV,0.0299999993294477,250.0
Australia,2013,EV,0.0340000018477439,290.0
Australia,2014,EV,0.1599999964237213,1320.0
Australia,2015,EV,0.2000000029802322,1760.0
Australia,2016,EV,0.1500000059604644,1370.0
Australia,2017,EV,0.2599999904632568,2300.0
Australia,2018,EV,0.4199999868869781,3600.0
Australia,2019,EV,1.2000000476837158,9200.0
Australia,2020,EV,1.100000023841858,6900.0
Australia,2021,EV,2.799999952316284,20444.0
Australia,2022,EV,5.099999904632568,38915.0
Australia,2023,EV,12.0,98006.0
Austria,2013,EV,0.2000000029802322,650.0
Austria,2014,EV,0.5699999928474426,1706.0
Austria,2015,EV,0.8999999761581421,2804.0
Austria,2016,EV,1.5,5000.0
Austria,2017,EV,2.0,7102.0
Austria,2018,EV,2.5999999046325684,9107.0
Austria,2019,EV,3.5,11519.0
Austria,2020,EV,9.5,23614.0
Austria,2021,EV,20.0,48014.0
Austria,2022,EV,22.0,47014.0
Austria,2023,EV,26.0,65009.0
Belgium,2010,EV,0.0099999997764825,56.0
Belgium,2011,EV,0.0520000010728836,296.0
Belgium,2012,EV,0.1899999976158142,910.0
Belgium,2013,EV,0.1199999973177909,560.0
Belgium,2014,EV,0.4099999964237213,1950.0
Belgium,2015,EV,0.7699999809265137,3902.0
Belgium,2016,EV,1.7000000476837158,9207.0
Belgium,2017,EV,2.5999999046325684,14711.0
Belgium,2018,EV,2.4000000953674316,13213.0
Belgium,2019,EV,3.200000047683716,17712.0
Belgium,2020,EV,11.0,47004.0
Belgium,2021,EV,18.0,71021.0
Belgium,2022,EV,26.0,97020.0
Belgium,2023,EV,41.0,193009.0
Brazil,2010,EV,0.0003499999875202,10.0
Brazil,2011,EV,0.0002800000074785,8.0
Brazil,2012,EV,0.001300000003539,40.0
Brazil,2013,EV,0.0024000001139938,72.0
Brazil,2014,EV,0.002199999988079,61.0
Brazil,2015,EV,0.0041999998502433,89.0
Brazil,2016,EV,0.0109999999403953,177.0
Brazil,2017,EV,0.0230000000447034,430.0
Brazil,2018,EV,0.0199999995529651,410.0
Brazil,2019,EV,0.0860000029206276,1940.0
Brazil,2020,EV,0.1599999964237213,2600.0
Brazil,2021,EV,0.8999999761581421,13901.0
Brazil,2022,EV,1.2000000476837158,18502.0
Brazil,2023,EV,3.0,52000.0
Bulgaria,2015,EV,0.0900000035762786,21.0
Bulgaria,2016,EV,0.050000000745058,13.0
Bulgaria,2017,EV,0.3400000035762787,106.0
Bulgaria,2018,EV,0.6399999856948853,216.0
Bulgaria,2019,EV,0.6700000166893005,236.0
Bulgaria,2020,,,181.0
Bulgaria,2021,EV,2.200000047683716,550.0
Bulgaria,2022,EV,4.0,1140.0
Bulgaria,2023,EV,5.800000190734863,2160.0
Canada,2011,EV,0.0410000011324882,520.0
Canada,2012,EV,0.1400000005960464,1920.0
Canada,2013,EV,0.2199999988079071,3100.0
Canada,2014,EV,0.3499999940395355,5100.0
Canada,2015,EV,0.449999988079071,6800.0
Canada,2016,EV,0.7599999904632568,11600.0
Canada,2017,EV,1.0,16700.0
Canada,2018,EV,2.799999952316284,44000.0
Canada,2019,EV,3.4000000953674316,51079.0
Canada,2020,EV,4.199999809265137,51016.0
Canada,2021,EV,6.400000095367432,87130.0
Canada,2022,EV,9.5,115019.0
Canada,2023,EV,13.0,171013.0
Chile,2011,EV,0.0024000001139938,6.0
Chile,2012,EV,0.0020000000949949,5.0
Chile,2013,EV,0.0019000000320374,5.0
Chile,2014,EV,0.0071000000461936,17.0
Chile,2015,EV,0.0170000009238719,33.0
Chile,2016,EV,0.0130000002682209,27.0
Chile,2017,EV,0.0610000006854534,135.0
Chile,2018,EV,0.0700000002980232,168.0
Chile,2019,EV,0.1400000005960464,300.0
Chile,2020,EV,0.1599999964237213,189.0
Chile,2021,EV,0.1899999976158142,571.0
Chile,2022,EV,0.5,1501.0
Chile,2023,EV,0.3100000023841858,920.0
China,2010,EV,0.0099999997764825,1440.0
China,2011,EV,0.0340000018477439,5120.0
China,2012,EV,0.0729999989271164,9860.0
China,2013,EV,0.0949999988079071,15730.0
China,2014,EV,0.4000000059604645,73000.0
China,2015,EV,1.0,211000.0
China,2016,EV,1.5,339000.0
China,2017,EV,2.4000000953674316,580000.0
China,2018,EV,4.699999809265137,1090000.0
China,2019,EV,5.0,1060000.0
China,2020,EV,5.699999809265137,1140000.0
China,2021,EV,16.0,3250019.0
China,2022,EV,29.0,5900240.0
China,2023,EV,38.0,8100520.0
Colombia,2015,EV,0.0170000009238719,42.0
Colombia,2016,EV,0.0230000000447034,53.0
Colombia,2017,EV,0.06700000166893,148.0
Colombia,2018,EV,0.2399999946355819,570.0
Colombia,2019,EV,0.550000011920929,1320.0
Colombia,2020,EV,0.5699999928474426,950.0
Colombia,2021,EV,1.2000000476837158,2540.0
Colombia,2022,EV,2.0,4300.0
Colombia,2023,EV,3.900000095367432,6100.0
Costa Rica,2015,EV,0.0096000004559755,4.0
Costa Rica,2016,EV,0.025000000372529,12.0
Costa Rica,2017,EV,0.0599999986588954,25.0
Costa Rica,2018,EV,0.5899999737739563,200.0
Costa Rica,2019,EV,1.5,460.0
Costa Rica,2020,EV,2.700000047683716,630.0
Costa Rica,2021,EV,3.900000095367432,1000.0
Costa Rica,2022,EV,5.5,1600.0
Costa Rica,2023,EV,12.0,4900.0
Croatia,2019,EV,0.4099999964237213,257.0
Croatia,2020,EV,1.899999976158142,670.0
Croatia,2021,EV,3.799999952316284,1800.0
Croatia,2022,EV,5.0,2240.0
Croatia,2023,EV,4.599999904632568,2590.0
Cyprus,2019,EV,0.1899999976158142,23.0
Cyprus,2020,EV,1.399999976158142,125.0
Cyprus,2021,EV,1.7000000476837158,182.0
Cyprus,2022,EV,5.400000095367432,630.0
Cyprus,2023,EV,8.800000190734863,1300.0
