region,year,powertrain,sales_volumes
China,2025,BEV,8300000.0
China,2025,FCEV,27000.0
China,2025,PHEV,2600000.0
China,2030,BEV,15000000.0
China,2030,FCEV,110000.0
China,2030,PHEV,2500000.0
China,2035,BEV,20000000.0
China,2035,FCEV,360000.0
China,2035,PHEV,1800000.0
Europe,2025,BEV,3600000.0
Europe,2025,FCEV,5800.0
Europe,2025,PHEV,1100000.0
Europe,2030,BEV,7400000.0
Europe,2030,FCEV,10000.0
Europe,2030,PHEV,1900000.0
Europe,2035,BEV,14000000.0
Europe,2035,FCEV,28000.0
Europe,2035,PHEV,35000.0
India,2025,BEV,390000.0
India,2025,FCEV,44.0
India,2025,PHEV,9600.0
India,2030,BEV,1800000.0
India,2030,FCEV,770.0
India,2030,PHEV,17000.0
India,2035,BEV,4000000.0
India,2035,FCEV,6800.0
India,2035,PHEV,3400.0
Rest of the world,2025,BEV,1600000.0
Rest of the world,2025,FCEV,68000.0
Rest of the world,2025,PHEV,450000.0
Rest of the world,2030,BEV,5900000.0
Rest of the world,2030,FCEV,190000.0
Rest of the world,2030,PHEV,1400000.0
Rest of the world,2035,BEV,15000000.0
Rest of the world,2035,FCEV,470000.0
Rest of the world,2035,PHEV,2000000.0
USA,2025,BEV,2600000.0
USA,2025,FCEV,3800.0
USA,2025,PHEV,470000.0
USA,2030,BEV,7400000.0
USA,2030,FCEV,8600.0
USA,2030,PHEV,1400000.0
USA,2035,BEV,9500000.0
USA,2035,FCEV,21000.0
USA,2035,PHEV,1600000.0
World,2025,BEV,17000000.0
World,2025,FCEV,110000.0
World,2025,PHEV,4700000.0
World,2030,BEV,37000000.0
World,2030,FCEV,320000.0
World,2030,PHEV,7100000.0
World,2035,BEV,62000000.0
World,2035,FCEV,890000.0
World,2035,PHEV,5500000.0
